No.,チャプター名,トピック名,単語,読み方,意味,例文,関連漢字,注意,TICK
150,1章,人間,不平,Na,Na,"しかられて不平な顔をする。
ぶつぶつと不平を言う。","不平・不器用
平日・平等・手の平",Na,Na
151,1章,人間,自慢する,Na,Na,"自慢するつもりはないが、ぼくはクラスで1番だった。
彼女はみんなにその映画スターに会えたことを自慢している。","自信・自然
自慢",Na,Na
152,1章,人間,怒鳴る,Na,Na,"店長は店員を激しく怒鳴った。
遅刻して上司に怒鳴られた。","怒りっぽい・怒り・怒鳴る
ベルが鳴る",Na,Na
153,1章,人間,隠す,Na,Na,"両手で顔を隠す。
秘密を隠す。
身分を隠す。
先生がやって来ると、太郎は漫画をそっと隠した。",月が曇りの間に隠れる・隠居,Na,Na
154,1章,人間,広める,Na,Na,"悪いうわさを広める。
知識を広める。
ロック音楽を広める。",広い・広告,Na,Na
155,1章,人間,誤解,Na,Na,"そういう言い方は誤解を招きますよ。
私の言っていることを誤解しないでください。",誤字・進むべきの道を誤る,Na,Na
156,1章,人間,解く・解ける,Na,Na,"問題を解く。→問題が解ける。
怒りを解く。→怒りが解ける。
緊張を解く。→緊張が解ける。
契約を解く。→契約が解ける。
髪を解く。→髪が解ける。",解く・解決・解熱剤,Na,Na
157,1章,人間,仲直りする,Na,Na,けんかした恋人と仲直りする。,仲がいい夫婦・直接連絡する・正直な人・直ぐに,Na,Na
158,1章,人間,礼儀,Na,Na,間違い電話をしたときは謝るのが礼儀だ。,"お礼
義・儀・議・犠",Na,Na
159,1章,人間,エチケット,Na,Na,エチケットを守る。,Na,～マナー・礼儀作法,Na
160,1章,人間,作法,Na,Na,礼儀作法を守る。,作品・作業・作り方,Na,Na
161,1章,人間,敬語,Na,Na,正しい敬語を使う。,"言語・語る
敬う・敬語",Na,Na
162,1章,人間,反抗的,Na,Na,子どもは反抗的になる傾向がある。,Na,Na,Na
163,1章,人間,態度,Na,Na,反抗的な態度を取る。,一度・Ｖる度に・朝食を支度する,Na,Na
164,1章,人間,道徳,Na,Na,道徳は時代とともに変化する。,茶道・道に迷う,Na,Na
165,1章,人間,重視する,Na,Na,家庭のしつけを重視する。,重さ・重視する・慎重,"＞＜軽視する
",Na
166,1章,人間,姿勢,Na,Na,きちんとした姿勢で座る。,大勢・姿を現す,Na,Na
167,1章,人間,みっともない,Na,Na,客の前で兄弟げんかをするなんてみっともない。,Na,～恥ずかしい,Na
168,1章,人間,服装,Na,Na,みっともない服装で出かける。,Na,Na,Na
169,1章,人間,恋愛,Na,Na,彼らは恋愛中だ。,Na,Na,Na
170,1章,人間,もてる,Na,Na,あの歌手は女性によくもてる。,Na,～人気がある,Na
171,1章,人間,理想,Na,Na,彼は私の理想の男性です。,無理だ・想像する,Na,Na
172,1章,人間,偶然,Na,Na,"駅で偶然友達に会った。
「今夜そのコンサートへ行くんだ」
「私もよ。偶然ね」","自然
偶数",Na,Na
173,1章,人間,見かける,Na,Na,このキャラクターをテレビでよく見かける。,見る・発見,Na,Na
174,1章,人間,冷める,Na,Na,"愛が冷める。
ご飯が冷める。
仕事に対する熱が冷めた。
おふろの湯が冷めないうちに入りなさい。",冷蔵庫・冷たいお茶・冷でビールを飲む・ビールを冷やす・ビールが冷える・スープを冷ます・スープが冷める。,Na,Na
175,1章,人間,振る,Na,Na,"恋人を振る。
ハンカチを振る。
塩を振る。",Na,Na,Na
176,1章,人間,失恋する,Na,Na,まったく人を愛したことがないよりは愛して失念したことがある方がよい。,"財布を失う・失礼します。
初恋・恋愛",Na,Na
